Id,SalePrice
2658,132165.6836257566
2718,155507.16318615497
2414,230340.75254705822
1989,118162.82010910587
625,181803.02859886826
333,80185.17548143864
1327,99703.4718105901
858,159420.37813135798
95,170064.61321162837
1568,164959.134568682
2482,152095.75579948735
1364,125753.58409661704
2584,142613.0375555038
818,265251.3578703467
2673,160191.17564544597
2089,108882.57725208698
1297,153991.22905230333
790,112944.16446879444
2616,202989.03172727997
720,211369.06602852026
222,167089.70923288426
557,120380.11093515035
1148,176399.7009461273
2766,169902.257342576
534,177837.65025459873
1452,125611.23194108992
630,114150.14960802397
2648,132155.41296777537
125,170075.4075485919
1904,8713.758301971073
1670,96058.1057578424
756,100086.51068912272
717,220130.3942993937
1032,154220.96259764704
852,224595.68404233392
1731,182693.8370662298
2639,109525.87961224698
2071,86368.74920781392
1267,154383.87233105424
1851,206711.62250291047
567,181359.79267462812
2439,219282.38245190005
1898,155721.47974631673
647,141448.10115993046
2256,223283.60458433366
979,79890.50395643777
1444,230497.19664169796
2485,131733.86908553465
157,125319.52785634561
88,112521.58759041471
2003,102308.09530008782
186,211983.2941889134
1425,237992.2121229759
2695,124642.83337957106
738,102394.4914374437
395,164945.71252831895
1353,168586.15189585846
1878,143006.21709913234
390,155129.50801848833
1456,225321.4463563843
1103,334573.73734561465
1387,140062.77771160772
2070,144280.6047641411
1199,170684.46847446632
2479,178862.00719184228
501,320255.9841184051
2362,81671.43435961916
1718,229013.32094167493
2188,87785.52062118013
1483,164291.69065809326
2557,100655.86464949652
437,314139.3261389133
2224,209092.63065683338
1628,185652.82180353475
397,146314.29430639034
587,192242.7951020326
2182,493955.19498460315
971,142416.8162812635
2611,145166.88671694737
1887,79081.24969246011
2399,371477.47566670814
2148,197345.50525127444
304,112664.40614169413
1997,136274.52977359368
2817,107648.34576804315
1431,208269.40140369796
427,347614.7302192516
263,132436.14072646468
598,178123.3192005346
2895,234780.28314250038
687,139698.5562039854
1822,140333.71534132902
2191,102338.92711734759
179,109539.88181370494
1009,238099.17618053698
2010,126764.39198464341
1991,139305.084701843
1411,172036.60015506297
1721,245003.52679414273
1144,204993.7439295612
593,226291.7791292208
575,309320.880627457
1249,157766.60646611627
1604,129137.57825523136
1064,427753.14677092736
1923,143929.91428601113
1988,124720.2509253639
2325,176815.2103067937
114,186964.52490945195
2700,173027.1616566393
217,128880.73494903387
343,180900.7628915267
386,222643.7623858488
2005,86992.5774266199
2908,126418.27076920416
1814,213153.036659552
2446,466177.7283852987
208,159269.962365613
1679,104770.61871730443
822,320274.8793383667
6,197251.3003712357
1781,370106.44440163096
2397,329208.51240691054
2340,312676.3067353504
1618,184805.60331878523
2843,145764.17767358472
1061,368694.05412308755
2786,120446.61399517982
1935,137715.40625554963
1341,123071.22117561087
521,260219.87688063172
2136,139553.30862074293
996,216724.22154341242
227,144281.9864716265
135,158193.18124367413
1167,150498.32743965782
294,237777.80163016036
1776,199237.26124273002
540,165747.3037538595
1717,233678.04499458967
2303,132371.51504208083
116,180742.48648914383
127,147054.8859387497
1371,134313.59443264236
1014,146731.59984683542
1507,94360.76817145348
702,141251.3773896894
750,150800.55240711506
261,137510.58526457535
1559,73161.76171775952
577,226784.04922009876
2812,185574.56573559815
2080,157801.17032240494
1368,101729.49820843467
2376,124652.67804135458
659,131064.46123801947
1235,139494.05215049136
332,63796.122250287124
1917,143765.83143348532
2094,244118.4245502489
1460,249177.79834030126
1471,223320.05732362252
1509,113781.99648199863
1922,129415.03784093223
433,450978.88969414274
460,289053.92410185357
1116,236716.116083073
1137,154358.66337536398
53,171772.3176601019
2354,257553.70478575016
1475,192718.07890255627
1761,451411.5836792415
842,139040.48439967554
2739,178569.69411181397
2509,150534.74909123147
1007,197850.3033346331
2610,171927.62539015475
1952,98915.56639511907
2719,159520.53055221884
2921,76532.09781191166
1966,153898.01647163072
292,108482.22782094497
1204,185951.1842422448
1829,253255.26594882217
2419,197731.7563340405
391,154372.13143329805
798,117529.2761354296
481,200155.44479748563
193,194083.9814046565
555,124705.29832474288
899,56476.75361535154
2357,167438.54569520196
328,131943.66459637412
1356,105587.8913186577
1154,97327.76575295639
1730,185020.0893447481
2249,159383.57353275243
1119,284189.11174807075
2856,149285.40017291458
1394,132740.25926797232
2587,126228.13110281958
61,306089.1783775096
2661,165871.41141863217
2711,121094.77576432152
1147,185899.1620279973
757,127757.74108662843
2623,112666.85107544206
2378,132840.5210438728
1413,149157.0440441091
1722,243498.79649270553
1112,224879.20770523438
1623,184310.00110445643
1201,203001.0228440926
1513,108861.53627083753
957,274930.1653422938
1171,255454.32182613938
1145,193673.00051751416
2726,224739.16096211533
703,136835.0179508067
760,113530.40126050668
1964,163248.09669041898
2512,183751.154686142
159,117843.9460799666
1281,176212.48968725553
468,195698.24340002757
290,128282.7514559526
665,111548.46343953957
1463,245234.1871379296
1792,235973.5798641684
923,149043.73696448014
500,302589.2556921566
1408,165745.8916803468
331,89039.53421695276
170,152272.39012532146
2192,95179.69389294508
2571,253068.3194628394
2314,181289.09690768315
2647,100561.56764090116
422,411856.2914033181
2457,320086.75753623253
1838,192396.5737104307
2805,245231.05219171458
1645,150989.06264863192
1711,311700.5346530964
2825,224711.95526594564
322,294306.64831376786
2103,251256.64058281158
342,114737.12393550618
600,125503.91639347425
488,166558.87655923126
1725,300404.83086764714
2246,277932.26651746314
2847,142972.90427850737
806,234003.06945458372
530,225770.4245763314
963,175058.89818776335
2678,107319.86126352448
